category,fiscal_month,amount,fiscal_year,quarter,month
Receipts - Disbursements,9,-480.4,2020,4,3
Opening Balance,9,1276.2,2020,4,3
TRAN,9,0.0,2020,4,3
Closing Balance,9,795.8,2020,4,3
Receipts - Disbursements,10,-30.9,2020,4,4
Opening Balance,10,795.8,2020,4,4
TRAN,10,0.0,2020,4,4
Closing Balance,10,764.9,2020,4,4
Receipts - Disbursements,11,-9.3,2020,4,5
Opening Balance,11,764.9,2020,4,5
TRAN,11,0.0,2020,4,5
Closing Balance,11,755.6,2020,4,5
Receipts - Disbursements,12,3.2,2020,4,6
Opening Balance,12,755.6,2020,4,6
TRAN,12,0.0,2020,4,6
Closing Balance,12,758.8,2020,4,6
Receipts - Disbursements,1,-76.6,2020,3,7
Opening Balance,1,966.4,2020,3,7
TRAN,1,0.0,2020,3,7
Closing Balance,1,889.8,2020,3,7
Receipts - Disbursements,2,-13.6,2020,3,8
Opening Balance,2,889.8,2020,3,8
TRAN,2,0.0,2020,3,8
Closing Balance,2,876.2,2020,3,8
Receipts - Disbursements,3,31.4,2020,3,9
Opening Balance,3,876.2,2020,3,9
TRAN,3,0.0,2020,3,9
Closing Balance,3,907.6,2020,3,9
Receipts - Disbursements,4,-97.5,2020,3,10
Opening Balance,4,907.6,2020,3,10
TRAN,4,0.0,2020,3,10
Closing Balance,4,810.1,2020,3,10
Receipts - Disbursements,5,-107.3,2020,3,11
Opening Balance,5,810.1,2020,3,11
TRAN,5,0.0,2020,3,11
Closing Balance,5,702.8,2020,3,11
Receipts - Disbursements,6,81.4,2020,3,12
Opening Balance,6,702.8,2020,3,12
TRAN,6,0.0,2020,3,12
Closing Balance,6,784.2,2020,3,12
Receipts - Disbursements,7,120.5,2020,3,1
Opening Balance,7,784.2,2020,3,1
TRAN,7,0.0,2020,3,1
Closing Balance,7,904.7,2020,3,1
Receipts - Disbursements,8,371.5,2020,3,2
Opening Balance,8,904.7,2020,3,2
TRAN,8,0.0,2020,3,2
Closing Balance,8,1276.2,2020,3,2
Receipts - Disbursements,9,-480.4,2020,3,3
Opening Balance,9,1276.2,2020,3,3
TRAN,9,0.0,2020,3,3
Closing Balance,9,795.8,2020,3,3
Receipts - Disbursements,10,-28.7,2020,3,4
